 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
14.594452, 48.61647, 0.2187523, 5.877862, 7.091147, 8.070619, 0.06345982, 1.790047, 1.166824, 7.49304, 13.78707, 4.407964, 3.992512, 0.3125949
14.694414, 59.07138, 0.2088989, 5.585193, 6.86398, 7.677888, 0.06032818, 1.712762, 2.211694, 7.098602, 14.03402, 4.146698, 3.778357, 0.2972878
14.794376, 61.64476, 0.1994894, 5.307096, 7.14919, 7.304268, 0.05735108, 1.638813, 2.104951, 6.724929, 13.3575, 3.900917, 3.575689, 0.2827303
14.894338, 59.00776, 0.1905037, 5.042846, 6.762486, 6.94883, 0.05452089, 1.568058, 2.00336, 6.370926, 13.9428, 3.669704, 3.383892, 0.2688856
14.9943, 56.48357, 0.1819228, 4.791754, 6.3967, 6.610688, 0.05183037, 1.500357, 1.906672, 6.035558, 13.27068, 3.452195, 3.202383, 0.2557189
15.094262, 54.06735, 0.1737284, 4.553164, 7.920382, 6.289, 0.04927262, 1.435579, 2.194531, 5.717843, 13.58818, 3.247578, 3.03061, 0.2431969
15.194224, 58.59391, 0.165903, 4.326454, 7.491964, 5.982966, 0.04684109, 1.373599, 2.351987, 5.416853, 12.93316, 3.05509, 2.86805, 0.2312881
15.294186, 56.08741, 0.1584302, 4.111032, 7.08672, 5.691824, 0.04452955, 1.314294, 2.238473, 5.131708, 12.30972, 2.87401, 3.861037, 0.2199624
15.394148, 57.30041, 0.151294, 3.906337, 6.703395, 5.41485, 0.04233209, 1.257549, 2.130438, 4.861573, 13.40261, 2.703663, 3.653934, 0.2091913
15.49411, 60.50388, 0.1444792, 3.711834, 6.340805, 5.151354, 0.04024306, 1.203255, 2.027617, 4.605658, 12.75654, 2.543413, 3.457941, 0.1989477
